Airport,Airport_Name,Delay_Type,Distribution,KS_Statistic,P_value,AIC,BIC,P90,P95,P99,Sample_Size,Data_P90,Data_P95,Data_P99
EDDM,Munich,positive,Burr XII,0.013794813246461979,3.860387232415426e-41,1703410.5629546964,1703452.2199659026,25.51895294570766,34.71795473476085,66.6840769141561,246287,25.416666666666668,34.166666666666664,62.15
EDDM,Munich,positive,Generalized Gamma,0.01976358668282291,5.373605526222294e-84,1708302.5449401285,1708344.2019513347,27.05014747667541,35.88465754366857,57.71835674462605,246287,25.416666666666668,34.166666666666664,62.15
EDDM,Munich,positive,Weibull,0.02812839841421136,1.0152890048279404e-169,1710760.7913522099,1710792.0341106146,27.50843735204485,35.898627279005176,55.46439719672654,246287,25.416666666666668,34.166666666666664,62.15
EDDM,Munich,positive,Gamma,0.8654585963549785,0.0,3941459.3890486727,3941490.631807077,0.5818556387744789,1.4507665532071623,4.517687341359999,246287,25.416666666666668,34.166666666666664,62.15
EDDM,Munich,positive,Log-Normal,0.0289670696823493,5.742789463780885e-180,1715616.3539743556,1715647.5967327603,26.759540984753407,37.517767822789374,70.2092679695664,246287,25.416666666666668,34.166666666666664,62.15
EDDM,Munich,negative,Log-Logistic,0.037966575314041046,5.056421393372134e-249,1210316.0666253413,1210346.661986426,16.7859699373103,23.462268501900898,48.32904924106267,198482,15.4,18.7,26.066666666666666
EDDM,Munich,negative,Burr XII,0.01720863182200638,1.7335580555539838e-51,1183971.6744514664,1184012.468266246,15.11891959720711,18.583831167974193,28.345837206444195,198482,15.4,18.7,26.066666666666666
EDDM,Munich,negative,Generalized Gamma,0.029006095453679714,1.647838521551932e-145,1192716.6923895495,1192757.486204329,16.26157613552669,20.439926991035467,29.812942565288598,198482,15.4,18.7,26.066666666666666
EDDM,Munich,negative,Weibull,0.6531133063016423,0.0,1719486.5117080987,1719517.1070691834,9.45410939889504,27.937725676158603,164.32559629166687,198482,15.4,18.7,26.066666666666666
EDDM,Munich,negative,Gamma,0.9831159876856722,0.0,3832902.960042089,3832933.555403174,0.016666666667043813,0.016667847301660883,0.1269584155907049,198482,15.4,18.7,26.066666666666666
EDDM,Munich,negative,Log-Normal,0.03796395777552797,5.471803596907488e-249,1201395.9362857966,1201426.5316468813,15.840700476488697,20.555030035667766,33.05683887621677,198482,15.4,18.7,26.066666666666666
EGKK,London Gatwick,positive,Log-Logistic,0.02664493914130038,4.100388188082442e-148,1890302.6068595883,1890333.7651342482,42.60266503441598,62.357419154408376,143.3073103512442,239448,39.25,51.71666666666667,89.82549999999998
