,BKPR,EDDF,EDDM,EGKK,EGLL,EHAM,EIDW,LATI,LBBG,LBSF,LDDU,LDSP,LDZA,LEBL,LEMD,LFPG,LIRF,LQSA,LWSK,LYTV
LDDU,0.0022773713714289,0.24681091543078326,-0.1856646525397978,0.2918026019507391,0.002131283827455292,0.08363753413770596,0.29183911810819874,0.2733682885412801,0.1706874973826903,0.1005927623432241,1.0,0.36287519615529,0.024390409754334413,0.3377129824998804,0.19204285957025302,-0.09659044482128588,0.33840865917763674,0.32318090480975176,0.18300464592524385,0.17313441305858862
LDSP,-0.028580361187907837,0.15325702773850067,-0.021946239191473583,0.0816189103533197,-0.0283080910076386,-0.07347945265824446,0.16560641753116356,0.21744109887463048,0.06605897145577558,0.17375092808586146,0.36287519615529,1.0,0.22699212030491772,0.2770554246667726,0.20907958414936145,-0.12129827348012079,0.26471754482003246,0.1806758999841119,0.05926820010891994,0.15478276719036999
LDZA,0.3630344080046775,-0.09318624346023562,0.17274187240187713,0.0681758154331898,-0.49935517799039986,-0.13142678974394847,0.1578479169137966,-0.22480669600809455,-0.0261550370617604,0.05605465743379899,0.024390409754334413,0.22699212030491772,1.0,0.0650567827342605,0.07646618511297922,-0.11405025548359683,0.08705777434218835,0.3135879282711634,0.053930272419280174,-0.10136537928931769
LEBL,0.08987534548576574,0.14415793578922262,-0.10225964426520098,0.3372455352360224,0.0007000241458635778,0.48785403494105045,0.30988861433636666,0.27181817746993997,0.2338371075387073,0.3137810453602829,0.3377129824998804,0.2770554246667726,0.0650567827342605,1.0,0.30768507901044656,-0.03485787875365484,0.16644133050231405,0.11332212706269654,0.08321329907871586,-0.030632911845077264
LEMD,-0.055172726407848025,0.23371150852149689,0.022828082844828682,0.241729811548397,-0.055641577154255294,0.15801376969506783,0.12949467399105838,0.024853959196055632,0.04257526978083555,0.13683842575567254,0.19204285957025302,0.20907958414936145,0.07646618511297922,0.30768507901044656,1.0,0.16617096012736618,0.2720760494973011,0.1071216842842459,-0.004598148469831375,0.07960053917748867
LFPG,-0.05026146101521451,0.13409156802136363,-0.051985624127408425,-0.023252754256625624,-0.06772441056481135,-0.021960828204485385,-0.031415192850834724,0.14192624520520597,-0.03739579482986709,0.177120761718695,-0.09659044482128588,-0.12129827348012079,-0.11405025548359683,-0.03485787875365484,0.16617096012736618,1.0,0.018064825505842437,-0.08626689419941753,0.05580970362924279,-0.01206568372747993
LIRF,-0.030432325287691447,0.3611647283771391,0.017499832267826074,0.27480786914296557,0.1304722912801451,-0.016868125672396657,0.3427156094356275,0.2847153057436602,0.09087314079367241,0.10026856461599558,0.33840865917763674,0.26471754482003246,0.08705777434218835,0.16644133050231405,0.2720760494973011,0.018064825505842437,1.0,0.3322998532383512,0.22088385589680495,0.26440827961888025
LQSA,0.2342088584468455,0.047710764363363994,0.04802164858081579,0.161522559828049,-0.08386866009933322,-0.0515722223527127,0.27507843376122704,0.022388497844275553,0.10850340681322078,0.11785541671455943,0.32318090480975176,0.1806758999841119,0.3135879282711634,0.11332212706269654,0.1071216842842459,-0.08626689419941753,0.3322998532383512,1.0,0.2888185331445746,0.07196274943120623
LWSK,0.15034706733675324,0.11087758404395988,-0.08963153955586844,0.22754660008335098,-0.09622461431842372,-0.1410256647400502,0.1484425261213767,0.08764625752078772,0.1730167962504435,0.06980205870482807,0.18300464592524385,0.05926820010891994,0.053930272419280174,0.08321329907871586,-0.004598148469831375,0.05580970362924279,0.22088385589680495,0.2888185331445746,1.0,0.18352540528215722
LYTV,0.0105421266212282,0.12001035994987976,0.18838748109397127,-0.010536613148230877,0.04687078508275295,0.027728248874496087,-0.05105970702768482,0.20177129887458425,0.013712160755027136,0.11721040654448378,0.17313441305858862,0.15478276719036999,-0.10136537928931769,-0.030632911845077264,0.07960053917748867,-0.01206568372747993,0.26440827961888025,0.07196274943120623,0.18352540528215722,1.0
