airports,methods,status,mean_original,std_original,mean_detrended,std_detrended
LATI,z_score,SUCCESS,0.8024933418913297,5.223989675200946,2.8011266566136314e-17,1.0
LATI,delta,SUCCESS,0.8024933418913297,5.223989675200946,-0.00010144430181511198,4.804277454698581
LATI,second_difference,SUCCESS,0.8024933418913297,5.223989675200946,-0.0002997063015132052,11.598046912361418
LBBG,z_score,SUCCESS,-0.028769164590925576,5.985683739077536,0.0,0.9999999999999999
LBBG,delta,SUCCESS,-0.028769164590925576,5.985683739077536,0.0001583963147666812,5.763755275813974
LBBG,second_difference,SUCCESS,-0.028769164590925576,5.985683739077536,-6.691459594300801e-18,14.323492179737435
LBSF,z_score,SUCCESS,-0.09723439505618171,5.935909254174195,-3.112362951792924e-18,1.0
LBSF,delta,SUCCESS,-0.09723439505618171,5.935909254174195,2.5510973365544136e-05,5.513494784650188
LBSF,second_difference,SUCCESS,-0.09723439505618171,5.935909254174195,4.175050990377235e-05,13.274036041889373
LDDU,z_score,SUCCESS,0.3248550795523966,4.392849125926765,1.556181475896462e-17,1.0
LDDU,delta,SUCCESS,0.3248550795523966,4.392849125926765,-0.0001499411061118169,4.087038508068572
LDDU,second_difference,SUCCESS,0.3248550795523966,4.392849125926765,-1.0273510528610815e-18,10.030408155610909
LDSP,z_score,SUCCESS,0.5192211828088564,4.6346837568496015,9.337088855378771e-18,1.0
LDSP,delta,SUCCESS,0.5192211828088564,4.6346837568496015,-5.2910072827810094e-05,4.178219971613955
LDSP,second_difference,SUCCESS,0.5192211828088564,4.6346837568496015,2.8388931460717456e-18,10.0310691892339
LDZA,z_score,SUCCESS,0.5658547160778699,4.7782790780126705,1.556181475896462e-17,1.0000000000000002
LDZA,delta,SUCCESS,0.5658547160778699,4.7782790780126705,-0.00010897078906088442,4.3764090938112385
LDZA,second_difference,SUCCESS,0.5658547160778699,4.7782790780126705,3.559059860648615e-05,10.531664529933051
LEBL,z_score,SUCCESS,1.169170829428312,6.010979207452346,1.2449451807171696e-17,1.0
LEBL,delta,SUCCESS,1.169170829428312,6.010979207452346,-1.806538139933787e-05,4.656713602723426
LEBL,second_difference,SUCCESS,1.169170829428312,6.010979207452346,-0.00011257911960141209,9.544442631579136
LEMD,z_score,SUCCESS,1.4586510790850935,6.588938253751597,3.112362951792924e-17,1.0
LEMD,delta,SUCCESS,1.4586510790850935,6.588938253751597,-0.00010267584720790775,5.555939331217664
LEMD,second_difference,SUCCESS,1.4586510790850935,6.588938253751597,-1.5057560948901082e-05,12.93499803936632
LFPG,z_score,SUCCESS,2.3093271711808034,7.536519111054637,-4.6685444276893857e-17,1.0
LFPG,delta,SUCCESS,2.3093271711808034,7.536519111054637,-0.00023674112638923952,6.3671438430567475
LFPG,second_difference,SUCCESS,2.3093271711808034,7.536519111054637,-8.441359925897947e-06,14.585054184686799
LIRF,z_score,SUCCESS,-0.5304220637830743,5.857478881930527,1.2449451807171696e-17,1.0
LIRF,delta,SUCCESS,-0.5304220637830743,5.857478881930527,-0.00012183350020079556,4.971496448607816
LIRF,second_difference,SUCCESS,-0.5304220637830743,5.857478881930527,0.00017293380604949598,11.719542522569952
LQSA,z_score,SUCCESS,0.6955879224502522,5.138145299590252,-2.8011266566136314e-17,1.0
LQSA,delta,SUCCESS,0.6955879224502522,5.138145299590252,3.629815427920416e-05,4.757508896755124
LQSA,second_difference,SUCCESS,0.6955879224502522,5.138145299590252,-1.2042499619631966e-17,11.743051635338034
LWSK,z_score,SUCCESS,0.2572819899227914,5.738362811736894,2.1397495293576354e-18,1.0000000000000002
LWSK,delta,SUCCESS,0.2572819899227914,5.738362811736894,-0.00014393571585306894,5.424917858097611
LWSK,second_difference,SUCCESS,0.2572819899227914,5.738362811736894,2.2472268991917236e-05,13.192531949541523
LYTV,z_score,SUCCESS,0.270904732572654,3.850196882321027,0.0,1.0
LYTV,delta,SUCCESS,0.270904732572654,3.850196882321027,-8.047700624768243e-05,3.596618705644915
LYTV,second_difference,SUCCESS,0.270904732572654,3.850196882321027,1.714278088206065e-18,8.714969888934295
