Airport,Avg Origin Delay,Avg Destination Delay
EDCY,-8.066666666666666,0.0
EDDB,6.808043180056062,0.0
EDDC,-0.7546305298979096,0.0
EDDE,-2.4062111801242234,0.0
EDDF,8.411457586074706,3.7038669733924676
EDDG,0.2812685055321802,0.0
EDDH,5.786343756695782,0.0
EDDK,3.281896512135198,0.0
EDDL,6.5968469855937375,0.0
EDDM,7.9431848228174875,3.1830483943205428
EDDN,6.896754016647309,0.0
EDDP,-3.182013093881685,0.0
EDDR,-2.1280898876404497,0.0
EDDS,7.474369366094795,0.0
EDDT,4.410922261341103,0.0
EDDV,4.753061718312841,0.0
EDDW,3.408576447227738,0.0
EDFB,-0.4666666666666667,0.0
EDFE,2.394565217391304,0.0
EDFH,7.7247289014615745,0.0
EDFM,1.256201550387597,0.0
EDFU,10.116666666666667,0.0
EDFZ,8.083333333333334,0.0
EDGE,-0.6166666666666667,0.0
EDGS,-2.5072463768115942,0.0
EDHI,3.1712121212121214,0.0
EDHK,0.36133333333333334,0.0
EDHL,-8.195904995904996,0.0
EDJA,5.577732240437158,0.0
EDLD,11.483333333333333,0.0
EDLE,3.2552083333333335,0.0
EDLI,-7.277777777777778,0.0
EDLN,1.282808398950131,0.0
EDLP,2.848459516298633,0.0
EDLS,7.5055555555555555,0.0
EDLV,4.223114355231144,0.0
EDLW,5.907533494399297,0.0
EDMA,1.040359477124183,0.0
EDME,-23.058333333333334,0.0
EDML,3.6107843137254902,0.0
EDMO,1.0135922330097087,0.0
EDMS,-7.78030303030303,0.0
EDMV,-11.3,0.0
EDNY,0.4477760577915377,0.0
EDON,2.5722222222222224,0.0
EDOP,-6.963888888888889,0.0
EDOV,-33.6,0.0
EDQA,18.05,0.0
EDQG,4.598511904761905,0.0
EDQM,-7.0858333333333325,0.0
EDQT,15.15,0.0
EDRE,-13.85,0.0
EDRK,-6.629901960784314,0.0
EDRT,-3.3666666666666667,0.0
EDRY,2.353083333333333,0.0
EDRZ,-4.003525641025641,0.0
EDSB,-5.283146905294556,0.0
EDTD,-3.339583333333333,0.0
EDTF,-12.833333333333334,0.0
EDTG,-8.008333333333333,0.0
EDTL,1.4994791666666667,0.0
EDTM,-0.38364779874213834,0.0
EDTY,10.991317365269461,0.0
EDVE,5.985455053042993,0.0
EDVK,1.8765372168284788,0.0
EDWE,-32.580555555555556,0.0
EDWF,-82.68333333333334,0.0
EDWI,-1.06,0.0
EDXF,-4.3,0.0
EDXJ,49.083333333333336,0.0
EDXW,0.35261550210003817,0.0
EETN,2.661723163841808,0.0
EETU,3.796666666666667,0.0
EFET,6.43311403508772,0.0
