Airport,Delay_Type,Param,Value
EGLL,positive,c,3.097316776211068
EGLL,positive,c,3.0347666629310535
EGLL,positive,c,3.0770808442616824
EGLL,positive,c,3.105657963418465
EGLL,positive,c,3.1141768500376026
EGLL,positive,c,3.0820183873715803
EGLL,positive,c,3.0911198446829564
EGLL,positive,c,3.1534485942311674
EGLL,positive,c,3.078502720561777
EGLL,positive,c,3.092706326602097
EGLL,positive,c,3.0780092346459376
EGLL,positive,c,3.083110847898956
EGLL,positive,c,3.1195951786751777
EGLL,positive,c,3.102535435282419
EGLL,positive,c,3.0641288150066828
EGLL,positive,c,3.137606720480765
EGLL,positive,c,3.103638936487601
EGLL,positive,c,3.1054975272258623
EGLL,positive,c,3.059547643999239
EGLL,positive,c,3.06968384520049
EGLL,positive,c,3.056804959350629
EGLL,positive,c,3.1055963536256392
EGLL,positive,c,3.0540932755811383
EGLL,positive,c,3.083095228451675
EGLL,positive,c,3.0737081291459942
EGLL,positive,c,3.046362290074309
EGLL,positive,c,3.1289818416567114
EGLL,positive,c,3.0838315176491715
EGLL,positive,c,3.0723705985729346
EGLL,positive,c,3.1143459280428747
EGLL,positive,c,3.098547906175885
EGLL,positive,c,3.0880820957721724
EGLL,positive,c,3.0327557415504867
EGLL,positive,c,3.067321322497816
EGLL,positive,c,3.064772324644913
EGLL,positive,c,3.0411569300960184
EGLL,positive,c,3.0696114388290936
EGLL,positive,c,3.0375403102476106
EGLL,positive,c,3.1242663265712602
EGLL,positive,c,3.114242275065429
EGLL,positive,c,3.059505423998578
EGLL,positive,c,3.0758118071090275
EGLL,positive,c,3.0970148515656826
EGLL,positive,d,0.37120844806935954
EGLL,positive,d,0.3740500683377854
EGLL,positive,d,0.37828134978890826
EGLL,positive,d,0.3616237311375845
EGLL,positive,d,0.39322538603375906
EGLL,positive,d,0.37076832084220634
EGLL,positive,d,0.36885564870605986
EGLL,positive,d,0.38140012637153625
EGLL,positive,d,0.3722272150606615
EGLL,positive,d,0.3790253466980689
EGLL,positive,d,0.37921551359989075
EGLL,positive,d,0.37344350213848987
EGLL,positive,d,0.3813369491873003
EGLL,positive,d,0.3794804112479614
EGLL,positive,d,0.3704898690788158
EGLL,positive,d,0.3826433877957698
EGLL,positive,d,0.3708275140764948
EGLL,positive,d,0.37521832338676153
EGLL,positive,d,0.37080620773806783
EGLL,positive,d,0.37633466331523063
EGLL,positive,d,0.3832017481307268
EGLL,positive,d,0.37882170528786907
EGLL,positive,d,0.37491874834065214
EGLL,positive,d,0.3735190865249809
EGLL,positive,d,0.3748846371954606
EGLL,positive,d,0.37570810944329286
EGLL,positive,d,0.3773394814986044
EGLL,positive,d,0.39558790310529
EGLL,positive,d,0.37184399614498
EGLL,positive,d,0.4160840305436777
EGLL,positive,d,0.37608574922387294
EGLL,positive,d,0.38112915175687734
EGLL,positive,d,0.37556728238484804
EGLL,positive,d,0.3787160813495412
EGLL,positive,d,0.37748658915977995
EGLL,positive,d,0.37609207642566955
EGLL,positive,d,0.37693627572339666
EGLL,positive,d,0.3817510721720335
EGLL,positive,d,0.38631466763088096
EGLL,positive,d,0.4075261131741681
EGLL,positive,d,0.374576656625597
EGLL,positive,d,0.37812319300353814
EGLL,positive,d,0.36888200798150106
