Airport,Delay_Type,Param,Mean,CI_lower,CI_upper,N_bootstrap
LYTV,positive,loc,-0.014150989131581453,0.016688335275265857,0.021153458111403005,500
LYTV,positive,scale,16.726938667745433,15.594477764633051,17.7872216851573,500
LYTV,negative,c,4.239171195997411,3.717670848015748,4.88300871949521,500
LYTV,negative,d,0.21162184074273482,0.17360622184252747,0.24730399696356015,500
LYTV,negative,loc,0.0175450784990693,0.01668271364928618,0.020253399990129085,500
LYTV,negative,scale,14.355768827634478,13.43612021370947,15.3327604125064,500
LWSK,positive,c,3.026682089201713,2.2431514868281375,3.2099511704001813,500
LWSK,positive,d,0.3276586433802388,0.2957158381895168,0.5304453150823955,500
LWSK,positive,loc,0.01759421777668969,0.016677910055669338,0.020470209318681074,500
LWSK,positive,scale,17.7822170246518,12.874920544542093,18.741381536704086,500
LWSK,negative,c,3.815393178737704,3.4212645353804017,4.223429364340758,500
LWSK,negative,d,0.23366723563860597,0.20418653022841346,0.26935234954543225,500
LWSK,negative,loc,0.017113641938755766,0.01667422608806557,0.01903811915426475,500
LWSK,negative,scale,16.929982306029643,15.868289962280295,17.877519567600395,500
