time,airport,out_degree
2017-06-01,LFPG,17
2017-06-01,LIRF,16
2017-06-01,LQSA,14
2017-06-01,LWSK,6
2017-06-01,LYTV,13
2017-09-01,BKPR,1
2017-09-01,EDDF,5
2017-09-01,EDDM,11
2017-09-01,EGKK,14
2017-09-01,EGLL,12
2017-09-01,EHAM,6
2017-09-01,EIDW,12
2017-09-01,LATI,11
2017-09-01,LBBG,0
2017-09-01,LBSF,2
2017-09-01,LDDU,5
2017-09-01,LDSP,7
2017-09-01,LDZA,4
2017-09-01,LEBL,11
2017-09-01,LEMD,9
2017-09-01,LFPG,14
2017-09-01,LIRF,7
2017-09-01,LQSA,12
2017-09-01,LWSK,5
2017-09-01,LYTV,9
2017-12-01,BKPR,2
2017-12-01,EDDF,14
2017-12-01,EDDM,16
2017-12-01,EGKK,8
2017-12-01,EGLL,12
2017-12-01,EHAM,11
2017-12-01,EIDW,15
2017-12-01,LATI,3
2017-12-01,LBBG,0
2017-12-01,LBSF,1
2017-12-01,LDDU,4
2017-12-01,LDSP,1
2017-12-01,LDZA,8
2017-12-01,LEBL,11
2017-12-01,LEMD,13
2017-12-01,LFPG,8
2017-12-01,LIRF,14
2017-12-01,LQSA,4
2017-12-01,LWSK,1
2017-12-01,LYTV,0
2018-03-01,BKPR,4
2018-03-01,EDDF,7
2018-03-01,EDDM,12
2018-03-01,EGKK,8
2018-03-01,EGLL,8
2018-03-01,EHAM,7
2018-03-01,EIDW,5
2018-03-01,LATI,1
2018-03-01,LBBG,0
2018-03-01,LBSF,2
2018-03-01,LDDU,1
2018-03-01,LDSP,2
2018-03-01,LDZA,7
2018-03-01,LEBL,9
2018-03-01,LEMD,10
2018-03-01,LFPG,12
2018-03-01,LIRF,5
2018-03-01,LQSA,6
2018-03-01,LWSK,3
2018-03-01,LYTV,4
2018-06-01,BKPR,8
2018-06-01,EDDF,6
2018-06-01,EDDM,6
2018-06-01,EGKK,15
2018-06-01,EGLL,12
2018-06-01,EHAM,8
2018-06-01,EIDW,14
2018-06-01,LATI,7
2018-06-01,LBBG,5
2018-06-01,LBSF,8
2018-06-01,LDDU,7
2018-06-01,LDSP,9
2018-06-01,LDZA,10
2018-06-01,LEBL,17
2018-06-01,LEMD,13
2018-06-01,LFPG,14
2018-06-01,LIRF,7
2018-06-01,LQSA,8
2018-06-01,LWSK,2
2018-06-01,LYTV,15
2018-09-01,BKPR,4
2018-09-01,EDDF,15
2018-09-01,EDDM,11
2018-09-01,EGKK,14
2018-09-01,EGLL,14
2018-09-01,EHAM,6
2018-09-01,EIDW,11
2018-09-01,LATI,10
2018-09-01,LBBG,2
2018-09-01,LBSF,3
