time,airport,in_degree
2020-09-01,EHAM,6
2020-09-01,EIDW,10
2020-09-01,LATI,5
2020-09-01,LBBG,2
2020-09-01,LBSF,11
2020-09-01,LDDU,8
2020-09-01,LDSP,5
2020-09-01,LDZA,8
2020-09-01,LEBL,7
2020-09-01,LEMD,0
2020-09-01,LFPG,3
2020-09-01,LIRF,11
2020-09-01,LQSA,2
2020-09-01,LWSK,6
2020-09-01,LYTV,5
2020-12-01,BKPR,5
2020-12-01,EDDF,8
2020-12-01,EDDM,6
2020-12-01,EGKK,5
2020-12-01,EGLL,2
2020-12-01,EHAM,6
2020-12-01,EIDW,3
2020-12-01,LATI,0
2020-12-01,LBBG,4
2020-12-01,LBSF,6
2020-12-01,LDDU,4
2020-12-01,LDSP,3
2020-12-01,LDZA,4
2020-12-01,LEBL,4
2020-12-01,LEMD,3
2020-12-01,LFPG,7
2020-12-01,LIRF,5
2020-12-01,LQSA,3
2020-12-01,LWSK,1
2020-12-01,LYTV,5
2021-03-01,BKPR,4
2021-03-01,EDDF,2
2021-03-01,EDDM,3
2021-03-01,EGKK,2
2021-03-01,EGLL,5
2021-03-01,EHAM,3
2021-03-01,EIDW,3
2021-03-01,LATI,1
2021-03-01,LBBG,1
2021-03-01,LBSF,8
2021-03-01,LDDU,4
2021-03-01,LDSP,7
2021-03-01,LDZA,5
2021-03-01,LEBL,3
2021-03-01,LEMD,6
2021-03-01,LFPG,5
2021-03-01,LIRF,4
2021-03-01,LQSA,4
2021-03-01,LWSK,3
2021-03-01,LYTV,3
2021-06-01,BKPR,5
2021-06-01,EDDF,3
2021-06-01,EDDM,3
2021-06-01,EGKK,2
2021-06-01,EGLL,9
2021-06-01,EHAM,5
2021-06-01,EIDW,7
2021-06-01,LATI,3
2021-06-01,LBBG,1
2021-06-01,LBSF,8
2021-06-01,LDDU,2
2021-06-01,LDSP,4
2021-06-01,LDZA,4
2021-06-01,LEBL,6
2021-06-01,LEMD,10
2021-06-01,LFPG,7
2021-06-01,LIRF,1
2021-06-01,LQSA,9
2021-06-01,LWSK,8
2021-06-01,LYTV,4
2021-09-01,BKPR,7
2021-09-01,EDDF,7
2021-09-01,EDDM,8
2021-09-01,EGKK,9
2021-09-01,EGLL,12
2021-09-01,EHAM,6
2021-09-01,EIDW,10
2021-09-01,LATI,7
2021-09-01,LBBG,3
2021-09-01,LBSF,11
2021-09-01,LDDU,4
2021-09-01,LDSP,5
2021-09-01,LDZA,9
2021-09-01,LEBL,10
2021-09-01,LEMD,2
2021-09-01,LFPG,6
2021-09-01,LIRF,2
2021-09-01,LQSA,8
2021-09-01,LWSK,10
2021-09-01,LYTV,2
2021-12-01,BKPR,4
2021-12-01,EDDF,7
2021-12-01,EDDM,6
2021-12-01,EGKK,9
2021-12-01,EGLL,7
2021-12-01,EHAM,9
2021-12-01,EIDW,9
2021-12-01,LATI,5
2021-12-01,LBBG,3
2021-12-01,LBSF,3
2021-12-01,LDDU,4
2021-12-01,LDSP,6
2021-12-01,LDZA,3
2021-12-01,LEBL,8
2021-12-01,LEMD,6
2021-12-01,LFPG,5
2021-12-01,LIRF,2
2021-12-01,LQSA,6
2021-12-01,LWSK,4
2021-12-01,LYTV,5
2022-03-01,BKPR,4
2022-03-01,EDDF,2
2022-03-01,EDDM,7
2022-03-01,EGKK,8
2022-03-01,EGLL,7
2022-03-01,EHAM,7
2022-03-01,EIDW,7
2022-03-01,LATI,7
2022-03-01,LBBG,0
2022-03-01,LBSF,7
2022-03-01,LDDU,1
2022-03-01,LDSP,2
2022-03-01,LDZA,4
2022-03-01,LEBL,6
2022-03-01,LEMD,7
2022-03-01,LFPG,8
2022-03-01,LIRF,6
2022-03-01,LQSA,8
2022-03-01,LWSK,7
2022-03-01,LYTV,5
2022-06-01,BKPR,12
2022-06-01,EDDF,3
2022-06-01,EDDM,2
2022-06-01,EGKK,11
2022-06-01,EGLL,12
2022-06-01,EHAM,9
2022-06-01,EIDW,14
2022-06-01,LATI,12
2022-06-01,LBBG,8
2022-06-01,LBSF,12
2022-06-01,LDDU,8
2022-06-01,LDSP,14
2022-06-01,LDZA,14
2022-06-01,LEBL,14
2022-06-01,LEMD,15
2022-06-01,LFPG,10
2022-06-01,LIRF,8
2022-06-01,LQSA,8
2022-06-01,LWSK,12
2022-06-01,LYTV,2
2022-09-01,BKPR,11
